country,year,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.XPD.TOTL.GD.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS
Equatorial Guinea,2008,17.7991091333811,18210.5552970599,,27.5417518128173,128.688006601458
Equatorial Guinea,2009,1.34335628806095,13232.5019378102,,39.3928256509129,122.212077110801
Equatorial Guinea,2010,-8.92417588851806,13720.1658723222,,38.0562994925977,144.668225001248
Equatorial Guinea,2011,6.52392362989873,17198.2136668275,,32.0492712659016,114.37734663649
Equatorial Guinea,2012,8.31287184445641,17308.5723924575,,41.1481428957988,116.675422472364
Equatorial Guinea,2013,-4.13319850131583,16304.0713196418,,30.3080451576082,106.893284926066
Equatorial Guinea,2014,0.415066301596866,15548.6624656619,,28.7093001746,104.379198671388
Equatorial Guinea,2015,-9.11004114881537,9068.91003238645,,24.7014529043977,98.8780591680756
Equatorial Guinea,2016,-8.81641723219757,7453.19797948517,,16.6986459903143,92.6007307237942
Equatorial Guinea,2017,-5.66750850486686,7809.10465655488,,14.03171665413,102.428258251803
Equatorial Guinea,2018,-6.23654406734575,8102.47084834031,,12.5014966275534,103.645681622953
Equatorial Guinea,2019,-5.48182537893445,6804.14923073888,,10.891703090741,94.8787924253545
Equatorial Guinea,2020,-4.79108083383294,5764.05502912947,,6.98846405853807,77.9278846441807
Eswatini,2000,1.76017376022233,1668.9749133064,5.50848007202148,,
Eswatini,2001,1.05476490606897,1467.5389023828,4.83824014663696,,
Eswatini,2002,4.380099087901,1351.86550182919,4.44086980819702,,
Eswatini,2003,3.88021358597115,2060.18418135789,5.81677007675171,,
Eswatini,2004,3.62391422596615,2581.24172793045,5.40160989761353,,
Eswatini,2005,5.99877654987948,2945.36394872311,6.48462009429932,,
Eswatini,2006,5.99216683783499,3035.06156119205,6.55475997924805,,
Eswatini,2007,4.43537557686975,3180.86121498525,,,
Eswatini,2008,0.82166391380008,2999.82816920508,6.61812019348145,,
Eswatini,2009,1.56504885243523,3239.7578007877,6.47135019302368,,
Eswatini,2010,3.79375496828149,3992.95199562618,6.11837005615234,,
Eswatini,2011,2.2472297610679,4312.34243414155,6.86432981491089,,
Eswatini,2012,5.39663069666719,4347.99569336631,5.5932822227478,,
Eswatini,2013,3.86121379766628,3910.0639762073,5.08461046218872,,
Eswatini,2014,1.71688783296895,3740.69277623691,7.07059001922607,,
Eswatini,2015,1.35489493183989,3393.53367834668,5.35494709014893,,
Eswatini,2016,3.5289979506086,3223.92004062357,5.43355321884155,,
Eswatini,2017,2.46505860491378,3831.42595273032,6.17791414260864,,
Eswatini,2018,0.769171433736886,3986.10557163026,5.73687362670898,,
Eswatini,2019,4.96212142479391,3894.32951592818,5.69914817810059,,
Eswatini,2020,-2.88706296038356,3442.3216527415,5.36010456085205,,
Fiji,2000,-1.69999841605511,1995.72071163264,5.87773990631104,20.4277020407021,135.895641463483
Fiji,2001,2.00000014675206,1944.997414609,5.6431097984314,20.4041892610314,129.997341839447
Fiji,2002,3.19999911373267,2136.56794118683,6.27586984634399,23.2825451461638,126.052579068143
Fiji,2003,0.999999344757299,2655.58079586044,,27.5941415206824,128.975969916537
Fiji,2004,5.29999970460935,3097.19096651759,6.20915985107422,28.3288295582877,125.121987598815
Fiji,2005,0.700000402432437,3377.69126953493,5.16705989837646,20.1096805555556,117.740079365079
Fiji,2006,1.85248387199486,3455.10599907349,5.6553201675415,19.5008017725369,118.048331674709
Fiji,2007,-0.850654310045826,3762.74692789299,5.89472007751465,16.9864671605301,110.389514898623
Fiji,2008,1.03279422025967,3899.92231512129,4.25357007980347,23.4232715110545,130.997847976458
Fiji,2009,-1.38603770763581,3164.13275408169,4.49847984313965,18.734077312677,108.869117411674
Fiji,2010,2.95467242212241,3449.14452883369,,18.8026929847615,121.227903395671
Fiji,2011,2.70514302901049,4139.60288609702,4.17305994033813,20.9985485237523,124.476125636503
Fiji,2012,1.41131438177968,4341.40338748749,4.46150588989258,17.2721722283546,125.285791685112
Fiji,2013,4.73421948956532,4572.44377544245,4.35139417648315,27.6334498861462,126.348386724849
Fiji,2014,5.60351489641585,5293.35679137747,3.76960921287537,20.8867784362495,110.812305548779
Fiji,2015,4.50119938335874,5097.53108832569,4.80931758880615,22.4179307985768,101.189048565576
Fiji,2016,2.44565200769968,5363.79025590254,4.83590269088745,21.1161731104144,97.1744907814101
Fiji,2017,5.35336493706966,5826.84814087383,4.65119171142578,21.4236915527274,97.0216625877761
Fiji,2018,3.81235097047221,6085.41979209299,4.79706048965454,21.0488574596384,103.235419995391
Fiji,2019,-0.581946371012094,5950.82868635508,5.15273189544678,19.6476633342328,107.411463822998
Fiji,2020,-17.0386675274098,4844.42129036462,5.80519533157349,16.7223451088498,72.3435754996883
Gabon,2000,-1.88296639760897,3982.906200928,3.82709002494812,21.9020564270273,101.701928939637
Gabon,2001,2.13523342197423,3835.75718279727,,22.7454690749839,83.6386132424108
Gabon,2002,-0.249033168543434,3966.48001864663,,25.1070976391096,84.7590815376223
Gabon,2003,2.2473300115045,4710.74862768151,,22.6391014756493,80.3026082056312
Gabon,2004,0.689543058464849,5465.79193590708,,21.4960517696994,81.7675371418698
Gabon,2005,2.67620333310926,6547.87613955186,,21.3645323014692,83.9495998399241
Gabon,2006,-2.80657835569052,6847.00985685394,,24.0451962615575,88.6494092562519
Gabon,2007,6.00810802487668,8003.54289696049,,24.8786940506869,85.1324791636578
Gabon,2008,-3.30843064878751,9688.64519690633,,25.0898974271767,88.9988725945748
Gabon,2009,0.130331119816617,7290.57526093114,,27.981113361031,83.5045774235636
Gabon,2010,7.08988731455126,8356.74662013345,3.07808995246887,29.7011138055349,89.1576627248353
Gabon,2011,7.09175334258654,10219.1139339454,2.987459897995,26.6423895609865,90.4983773331323
Gabon,2012,5.25107691750407,9296.96587941088,3.01340007781982,26.9661499641622,92.3428089420545
Gabon,2013,5.63869900338696,9197.70106323947,3.02971005439758,29.1805950279998,90.6350361478645
Gabon,2014,4.31496444107469,9201.36276648105,2.66667008399963,35.1390486032907,73.5203290162438
Gabon,2015,3.8788993950789,7047.12654634355,2.82435989379883,29.2309562924902,73.9497814588281
Gabon,2016,2.09144220829562,6677.07003901644,2.66773080825806,26.9822610431075,70.1333810645308
Gabon,2017,0.472642030911146,6921.73373135624,3.55570793151855,21.2986084367913,75.0687404456638
Gabon,2018,0.83791658082157,7624.2775233771,3.07154297828674,19.2582324284114,77.0365976973024
Gabon,2019,3.92080879452831,7441.1786472281,2.8743097782135,21.8987965722319,73.4280894486644
Gabon,2020,-1.8377610635094,6605.80346077565,3.39874076843262,19.8634691076218,70.1140546466314
Georgia,2000,1.84038117927339,749.908534993961,2.18105006217957,26.581315880922,62.6613956413099
Georgia,2001,4.80729867243699,801.98383707929,2.13750004768372,30.3277464788732,63.3299250824094
Georgia,2002,5.47402488700408,853.526171868939,2.23501992225647,28.5011829399142,71.6291255364807
Georgia,2003,11.0570310020104,1010.03151630868,2.06559991836548,29.0958769748135,77.6333765369391
Georgia,2004,5.79268292682926,1305.04748557208,2.91420006752014,30.9874494874953,79.0407459055607
Georgia,2005,9.59113832853026,1642.78359414797,2.48431992530823,33.3296044196233,84.5295975354749
Georgia,2006,9.42148081189909,1996.02013272284,3.00364995002747,29.7348059086723,89.125374368197
Georgia,2007,12.5755698246405,2635.36650276116,2.69687008857727,33.4545540138168,88.3934140686603
Georgia,2008,2.42161440960641,3324.7537205015,2.9195499420166,27.6897912964157,86.2982243681487
Georgia,2009,-3.65075229596822,2822.68939668797,3.22237992286682,13.9858779050373,78.1930390303569
Georgia,2010,6.24640865303363,3281.72930937343,2.80364799499512,20.929149397264,81.6733870603639
Georgia,2011,7.9343365253078,4119.66818307193,2.5149199962616,23.1207490708456,85.4659350932986
Georgia,2012,6.57883101954195,4530.69533409431,1.86033999919891,26.0276223249812,89.7348800946338
Georgia,2013,5.13288531209382,4712.00229382665,3.47322177886963,21.7000864850024,93.8139137895532
Georgia,2014,4.09049059581743,4830.33486170249,2.99768662452698,25.6503571653742,94.9506979383393
Georgia,2015,3.35102350265353,4086.6223465965,3.16487407684326,26.8771593145768,97.0163115086257
Georgia,2016,3.45021517996871,4143.40125686315,3.52338004112244,28.9031069953219,94.9262528383443
Georgia,2017,5.15990261658827,4418.75206546679,3.52442002296448,25.1248176100629,102.584277697146
Georgia,2018,6.062036412677,4804.0546040444,3.46094989776611,27.9262958963283,109.847740556266
Georgia,2019,5.38071926589951,4741.2832715876,3.82985997200012,27.1682284921369,117.810080239714
Georgia,2020,-6.2904717853839,4300.85701291207,3.8498592376709,24.6056865974412,92.8910841752194
Ghana,2000,3.70000008164408,253.746936203344,,23.9986004971918,116.048430162968
Ghana,2001,4.00000012807919,263.542156494853,5.35444021224976,26.5994216024397,110.045854160811
Ghana,2002,4.49999955900331,297.46164468774,,19.7,97.4892431746551
Ghana,2003,5.200000133101,358.39927142073,,22.9369279766376,97.2871457139532
Ghana,2004,5.59999999077445,406.132105329565,7.53558015823364,28.3775066840527,99.6703343472122
Ghana,2005,5.90000381855104,478.611909191028,7.42208003997803,29.0021406363098,98.1715141146279
